Time,1,2,3,4
2.597000,-6.842857,-13.072414,-29.239823,-0.942991
2.597500,-5.404762,-11.643103,-25.015929,-2.359813
2.598000,0.347619,-10.213793,-25.015929,0.473832
2.598500,1.785714,-10.213793,-23.607965,-2.359813
2.599000,-2.528571,-10.213793,-30.647788,-3.776636
2.599500,-2.528571,-8.784483,-13.752212,-0.942991
2.600000,-2.528571,-4.496552,-22.200000,-5.193458
2.600500,-1.090476,-21.648276,-19.384071,-2.359813
2.601000,-1.090476,1.220690,-19.384071,-3.776636
2.601500,0.347619,-15.931034,-19.384071,-6.610280
2.602000,-11.157143,-13.072414,-19.384071,-6.610280
2.602500,16.166667,-10.213793,-19.384071,-0.942991
2.603000,-5.404762,-7.355172,-17.976106,-8.027103
2.603500,-3.966667,-7.355172,-19.384071,8.974766
2.604000,-2.528571,-5.925862,-17.976106,-8.027103
2.604500,0.347619,-5.925862,-19.384071,-6.610280
2.605000,-2.528571,-10.213793,-8.120354,-0.942991
2.605500,-1.090476,-5.925862,-19.384071,-3.776636
2.606000,0.347619,-10.213793,-15.160177,-2.359813
2.606500,1.785714,9.796552,-16.568142,-3.776636
2.607000,-2.528571,-17.360345,-16.568142,-6.610280
2.607500,4.661905,-5.925862,-20.792035,-5.193458
2.608000,-11.157143,-4.496552,-20.792035,-6.610280
2.608500,-1.090476,-4.496552,-22.200000,-6.610280
2.609000,-3.966667,-4.496552,-25.015929,-6.610280
2.609500,3.223810,-7.355172,-25.015929,11.808411
2.610000,4.661905,-8.784483,-10.936283,-5.193458
2.610500,0.347619,-1.637931,-40.503540,-6.610280
2.611000,6.100000,-5.925862,-27.831858,-5.193458
2.611500,3.223810,1.220690,-26.423894,-5.193458
2.612000,4.661905,-11.643103,-27.831858,-3.776636
2.612500,4.661905,-5.925862,-23.607965,-5.193458
2.613000,4.661905,-5.925862,-23.607965,-5.193458
2.613500,1.785714,-15.931034,-19.384071,-3.776636
2.614000,-5.404762,-8.784483,-20.792035,-13.694393
2.614500,7.538095,-10.213793,-20.792035,13.225234
2.615000,1.785714,-10.213793,-16.568142,-12.277570
2.615500,8.976190,-11.643103,-26.423894,-6.610280
2.616000,8.976190,-10.213793,-25.015929,-6.610280
2.616500,4.661905,-7.355172,-5.304425,-6.610280
2.617000,4.661905,-8.784483,-16.568142,-6.610280
2.617500,7.538095,-18.789655,-19.384071,-2.359813
2.618000,11.852381,-7.355172,-19.384071,-3.776636
2.618500,11.852381,-7.355172,-17.976106,-0.942991
2.619000,-5.404762,-10.213793,-16.568142,-2.359813
2.619500,0.347619,-11.643103,-19.384071,0.473832
2.620000,0.347619,-8.784483,-19.384071,-0.942991
2.620500,4.661905,-7.355172,-17.976106,0.473832
2.621000,7.538095,-8.784483,-20.792035,-9.443925
2.621500,7.538095,-5.925862,-9.528319,-0.942991
2.622000,7.538095,-4.496552,-27.831858,0.473832
2.622500,4.661905,-7.355172,-19.384071,-0.942991
2.623000,7.538095,-7.355172,-17.976106,-2.359813
2.623500,3.223810,-10.213793,-16.568142,-2.359813
2.624000,3.223810,-1.637931,-19.384071,-2.359813
2.624500,0.347619,-4.496552,-17.976106,-2.359813
2.625000,23.357143,-4.496552,-19.384071,1.890654
2.625500,-2.528571,-7.355172,-19.384071,-8.027103
2.626000,4.661905,-10.213793,-22.200000,14.642056
2.626500,4.661905,-7.355172,-26.423894,-9.443925
2.627000,7.538095,-3.067241,-8.120354,-0.942991
2.627500,4.661905,-3.067241,-27.831858,-0.942991
2.628000,3.223810,-1.637931,-20.792035,0.473832
2.628500,0.347619,6.937931,-19.384071,-2.359813
2.629000,1.785714,-7.355172,-16.568142,-0.942991
2.629500,1.785714,-5.925862,-17.976106,-3.776636
2.630000,3.223810,-0.208621,-16.568142,-0.942991
2.630500,14.728571,-3.067241,-16.568142,-3.776636
2.631000,0.347619,-1.637931,-16.568142,-3.776636
2.631500,3.223810,-4.496552,-16.568142,4.724299
2.632000,7.538095,-1.637931,-9.528319,-8.027103
2.632500,8.976190,-5.925862,-13.752212,1.890654
2.633000,3.223810,2.650000,-20.792035,-0.942991
2.633500,7.538095,-11.643103,-16.568142,-0.942991
2.634000,1.785714,1.220690,-17.976106,-3.776636
2.634500,8.976190,-8.784483,-19.384071,-3.776636
2.635000,-2.528571,-3.067241,-19.384071,-3.776636
2.635500,3.223810,-5.925862,-17.976106,-2.359813
2.636000,-5.404762,-1.637931,-17.976106,-15.111215
2.636500,3.223810,-3.067241,-19.384071,14.642056
2.637000,4.661905,-4.496552,-17.976106,-9.443925
2.637500,1.785714,-4.496552,-32.055752,-6.610280
2.638000,0.347619,-3.067241,-15.160177,6.141121
2.638500,0.347619,-5.925862,-25.015929,-3.776636
2.639000,3.223810,-13.072414,-20.792035,-5.193458
2.639500,3.223810,-14.501724,-25.015929,-5.193458
