	VL	GM	SM	BF
83	64.4934119736	32.3085380336	269.207116916	244.551571912
84	57.4690309946	32.3085380336	270.679114828	288.783265419
85	85.7794149403	30.8329540578	268.571264687	303.464980627
86	153.516559605	30.8626907719	295.134786389	308.799456226
87	217.781226472	32.830136073	313.573706228	296.985021652
88	264.709714729	35.8094333489	321.855681517	265.234572169
89	281.607465218	36.040897502	309.708519488	245.563693398
90	287.453173495	36.339872033	323.807747862	234.970948995
91	288.333206752	36.507040588	355.814164648	232.74904465
92	292.197251694	34.2285653312	384.522892809	237.238101125
93	306.658231396	28.9940999527	385.927331421	245.932820058
94	318.524383796	29.7214439059	383.180449789	253.78450133
95	326.959359598	30.0814992552	383.895783547	253.78450133
96	344.332073885	30.0814992552	391.545880683	254.10202964
97	348.848995485	30.0429218963	440.646389844	251.553071135
98	353.116521378	30.1417763784	484.245982403	250.51078446
99	353.859942974	30.3997624656	508.065801735	249.838418264
100	353.859942974	28.383291771	509.317635812	249.31052745
101	353.662173768	28.6565480628	517.873027559	249.605828778
102	348.509849094	29.685277632	515.278750463	249.755860904
103	344.814185967	37.5526477517	508.100773608	248.624666302
104	344.011195333	38.9221439907	506.218651008	247.354553064
105	344.468685546	40.1654601185	513.073138042	251.172037164
106	345.078672497	40.1654601185	518.063783228	252.59377017
107	344.893611352	37.3525277027	516.757901712	257.877441239
108	344.865812467	38.1755113581	492.423042075	263.311144434
109	345.18271975	38.1755113581	455.998247109	261.063044004
110	342.866675547	39.481515694	452.667176242	263.311144434
111	342.514821095	39.481515694	461.085064945	271.281105002
112	347.171531371	39.4300792155	463.076077238	271.15647514
113	347.267636086	39.5225041378	463.304984041	274.54212074
114	347.4773191	39.7901345648	463.476664143	292.145890216
115	347.343884454	38.9984950134	470.002892463	303.176823686
116	347.187416447	38.612721425	508.602302054	313.387740297
117	346.949934549	44.933782411	531.124188022	315.080166187
118	345.825271108	44.8373390138	531.325276289	309.292418926
119	345.830830885	44.8373390138	532.720177118	304.891476557
120	346.393162605	44.8373390138	540.709660381	314.292695979
121	346.231929075	45.067999472	531.855418086	310.930865003
122	346.154886453	46.1770985388	535.279482341	307.228484915
123	346.231929075	46.6946781033	537.076559705	301.03668288
124	346.231929075	46.4286550662	547.227145733	299.74354884
125	345.984121877	52.2273143178	571.174135511	296.399975742
126	345.433703964	52.3719794135	594.680797619	296.409501591
127	346.263699229	52.2152588932	592.137388701	293.84387285
128	344.988921813	52.4009124326	596.210817047	290.466165459
129	340.642764789	52.5303073238	573.138124085	279.701955768
130	336.194943274	51.3368202845	575.830958276	272.998139335
131	331.645457266	54.6713507398	578.97206829	272.271793327
132	322.724398113	55.4557570363	581.728487705	272.474217624
133	320.450449363	57.4232023375	582.924684712	273.785609542
134	322.87689485	58.0018627202	583.096364814	238.194655157
135	298.265351047	58.7050958242	583.096364814	232.116369493
136	232.713198702	59.1591834856	597.352171798	215.884322314
137	161.125511411	56.2787406918	608.326981279	204.647789263
138	106.112313296	50.8136148552	639.731722893	194.105849389
139	81.9638194831	50.0099198793	662.431647486	182.661335296
140	70.2724029283	47.9653198604	634.211730726	179.775796783
141	74.3135664766	46.3732001131	570.582792938	180.595019822
142	72.9125026992	45.8274912244	507.347288716	177.542778947
143	63.8135306848	44.5737270619	486.948354379	173.260115873
144	53.037094556	41.5518339523	475.61746765	170.671466331
145	43.1248066073	39.0595758318	474.342583929	168.706759916
146	28.6280854825	38.0348647375	469.754910094	166.445164532
147	25.5876817751	37.9191326609	432.557554669	166.445164532
148	22.4900917912	37.4875484588	413.656847148	168.862348788
149	23.6886208388	37.4328972005	455.632632077	171.068376717
150	24.1524650826	37.4328972005	538.017621005	173.938832635
151	25.181023808	37.6932943727	617.011927919	180.261615097
152	25.0737995393	37.7808971251	700.232267713	179.882962588
153	24.8005762177	34.0413044019	705.819024364	177.876183672
154	24.8005762177	34.2221357715	708.133526479	173.469684558
155	25.2898365844	34.8007961542	706.094825269	164.641603734
156	24.9594269861	34.8803619568	704.425713166	162.177584053
157	26.8108326919	34.8803619568	701.821898286	154.63311142
158	28.1833033309	34.8007961542	696.048360043	138.570148066
159	29.5851613621	32.7304778961	697.892331508	127.653524787
