	VL	GM	SM	BF
166	10.8530646388	35.4302912621	26.3319330544	8.86885314685
167	10.9376121673	35.6003883495	25.40158159	8.50258041958
168	10.9939771863	35.3452427184	24.9505020921	8.249006993
169	11.0785247148	34.8066019417	24.9786945607	8.07995804196
170	11.3039847909	34.6648543689	25.2324267783	7.65733566433
171	11.3588745247	34.4380582524	25.2324267783	7.82638461538
172	11.4152395437	34.2112621359	25.3733891213	7.76783916084
173	11.4152395437	34.012815534	24.8377322176	7.90651748251
174	11.3870570342	33.5875728155	24.0201506276	7.79162237762
175	11.3870570342	33.559223301	23.0897991632	7.73307692307
176	11.2179619772	33.6159223301	21.8730627615	7.64635664335
177	11.3885323194	33.559223301	21.2483682008	7.61598601398
178	11.3885323194	33.360776699	21.1593305439	7.44693706293
179	11.5012623574	33.105631068	21.300292887	7.4773076923
180	11.4448973384	32.9355339806	21.5822175732	7.50548251748
181	11.4167148289	33.0772815534	21.5540251046	7.73088111888
182	11.4448973384	32.8788349515	21.7187196653	8.01262937063
183	11.5576273764	32.6236893204	22.0807615063	8.23802797202
184	11.7563802281	32.5386407767	22.3582259414	8.54795104895
185	11.5872851711	32.3685436893	22.381958159	8.66065034965
186	11.4730798479	32.1700970874	21.559916318	8.77334965035
187	11.6703574144	32.0	20.4841422594	8.68662937063
188	11.7267224335	31.7165048544	19.2718661088	8.88385314685
189	11.7830874525	31.6031067961	18.2005523013	9.08327272727
190	11.754904943	31.3479611651	17.4912803347	9.19816783216
191	11.8972927757	31.2629126214	16.8665857741	9.02911888111
192	11.8691102662	31.2062135922	16.3828535565	8.88824475524
193	11.8127452471	30.9510679612	16.1810460251	8.66284615384
194	11.8127452471	30.7809708738	16.1765857741	8.35292307692
195	11.8409277567	30.4974757282	16.397665272	8.24022377622
196	11.8409277567	30.185631068	16.534167364	8.24022377622
197	11.7563802281	29.9588349515	16.9807866109	8.01482517482
198	11.7000152091	29.8454368932	17.4600585774	7.7049020979
199	11.5591026616	29.6753398058	17.6010209205	7.39497902097
200	11.8127452471	29.3634951456	17.5728284519	7.33862937063
201	11.9536577947	29.1083495146	17.5446359833	7.28447552447
202	11.8409277567	28.8248543689	17.3472887029	7.45572027972
203	11.7000152091	28.4846601942	17.2345188285	7.54244055944
204	11.6436501901	28.172815534	17.1454811716	7.62916083916
205	11.5872851711	27.7759223301	17.1454811716	7.65953146853
206	11.6718326996	27.4073786408	16.9481338912	7.74625174825
207	11.9536577947	27.067184466	17.1128284519	7.88932167832
208	11.5858098859	26.7269902913	17.5594476988	8.05837062937
209	11.7267224335	26.3584466019	17.752334728	8.28596503496
210	11.7267224335	25.9899029126	17.9734142259	8.70858741258
211	11.811269962	25.9048543689	18.109916318	8.59588811189
212	11.7830874525	25.2811650485	18.1900334728	8.37048951049
213	11.754904943	24.9976699029	18.3265355649	8.25559440559
214	11.6436501901	24.8275728155	18.829539749	8.39427272727
215	11.5309201521	24.4023300971	19.6426610879	8.50697202797
216	11.6139923954	23.9203883495	20.2628953975	8.53295104895
217	11.6421749049	23.4667961165	20.8222845188	8.5871048951
218	11.7267224335	23.1266019418	20.9024016736	8.72797902098
219	11.754904943	23.1833009709	20.7050543933	8.69760839161
220	11.7267224335	22.8714563107	20.7569790795	8.66723776223
221	11.8409277567	22.5312621359	20.9216736402	8.38548951049
222	12.0100228137	22.5312621359	21.1427531381	8.21863636363
223	11.9536577947	22.332815534	21.7585271967	8.19265734266
224	12.0663878327	22.1910679612	22.5716485356	8.42025174825
225	12.1509353612	22.134368932	22.8491129707	8.61967132867
226	12.2073003802	21.680776699	23.5539246862	8.79091608391
227	12.2354828897	21.3689320388	23.9486192469	8.79311188811
228	12.2354828897	21.3122330097	24.5970460251	8.82128671328
229	12.2636653992	21.2838834951	24.818125523	9.07266433566
230	12.4045779468	21.1704854369	24.8700502092	9.26988811189
231	12.4045779468	21.0003883495	25.1193221757	9.46491608391
232	12.2918479088	20.8869902913	25.1193221757	9.63176923077
233	12.1791178707	20.8019417476	25.5704016736	9.6013986014
234	12.1227528517	20.5467961165	25.175707113	9.51467832168
235	12.1227528517	20.0648543689	24.588125523	9.34343356643
236	12.2933231939	19.866407767	24.3952384937	9.42576223776
237	11.9536577947	19.667961165	24.451623431	9.53846153846
238	11.9254752852	19.412815534	24.7572803347	9.47991608391
239	11.8972927757	19.1009708738	25.2602845188	9.50809090909
240	11.9254752852	18.9025242718	25.9369037657	9.73348951049
241	11.8972927757	18.7324271845	26.6135230126	10.1279370629
242	11.924	18.1370873786	27.543874477	10.466034965
243	12.598904943	17.9953398058	28.2768786611	10.5223846154
244	13.5838174905	17.6834951456	28.361456067	10.4942097902
245	15.3296577947	17.4566990291	27.999414226	10.5483636364
246	16.6245779468	17.2866019417	28.229414226	11.1941888112
247	17.6658555133	17.0598058252	27.7219497908	11.6427902098
248	18.3407604563	16.6345631068	27.6373723849	12.0068671329
249	18.6492927757	16.5211650485	27.8065271967	12.1455454545
250	18.2532623574	16.3510679612	27.6937573222	12.2322657343
251	18.1687148289	16.294368932	27.3554476988	12.2604405594
252	18.2532623574	16.2093203883	27.0735230126	12.2886153846
253	18.9860076046	16.2093203883	27.1254476988	12.6808671329
254	19.8314828897	16.2660194175	27.2144853557	12.6786713287
255	20.7051406844	16.2376699029	26.9325606695	13.2985174825
256	21.5506159696	16.4644660194	26.9607531381	13.8901888112
257	22.3679087452	16.492815534	26.8479832636	14.0874125874
258	23.2712243346	16.7196116505	26.6224435147	14.0310629371
259	23.6375969582	16.9747572815	26.6788284519	13.9443426573
260	24.1166996198	17.1165048544	26.7634058578	13.6885734266
261	24.4267072243	17.2866019417	26.819790795	13.7145524476
262	24.7085323194	17.3716504854	26.594251046	13.8532307692
263	25.018539924	17.1732038835	26.4250962343	13.9095804196
264	25.300365019	17.0031067961	26.594251046	13.7427272727
265	25.413095057	17.1165048544	26.819790795	13.9984965035
266	25.5554828897	17.1732038835	26.7915983264	14.5078391608
267	25.7527604563	17.1732038835	26.4532887029	14.9044825175
268	25.9500380228	17.1165048544	26.227748954	15.2144055944
269	25.9500380228	16.8897087379	26.2841338912	15.3293006993
270	25.9218555133	16.5211650485	26.4250962343	15.6414195804
271	25.8640152091	16.4361165049	26.4250962343	15.8668181818
272	26.3416425855	16.0675728155	26.3123263598	15.9795174825
273	27.3829201521	15.7571262136	25.9740167364	15.8668181818
274	28.3678326996	15.5303300971	25.3255899582	15.8104685315
275	28.845460076	15.3332815534	24.8789707113	15.5287202797
276	29.2103574144	15.1645825243	24.1786192469	15.4441958042
