	VL	GM	SM	BF
186	100.581798433	181.122686184	5241.878313	32.9797727272
187	100.581798433	175.343079497	5713.69090405	31.1618148759
188	98.9347468393	170.19026496	6188.63015608	30.7075239668
189	100.964262819	165.953344379	6582.7685354	30.7361157024
190	102.484618138	160.261197061	7037.64918814	30.2309950412
191	102.371383341	152.943763122	7482.71671714	29.668690909
192	103.289931344	150.285160242	7891.34834965	29.7520834709
193	94.300830518	153.044989244	8283.08749201	25.3044801652
194	93.6040009978	157.690053551	8764.49781985	29.6909289255
195	91.8745968212	162.123757714	9328.24670961	29.0436438015
196	90.4365940816	157.029249424	10080.1727798	28.9292768594
197	88.707189906	162.276811611	10896.7993515	29.3859504131
198	90.1792422701	167.225554286	11799.259592	30.1198049585
199	78.6752203554	169.723005179	12776.055941	30.0380008263
200	75.3050994002	172.279572127	13665.3152499	28.3224966941
201	71.7417666231	176.108348983	14422.7269809	28.4559247932
202	69.430351427	178.421163429	15103.217171	28.5321694213
203	65.5977890622	167.967339311	15897.0718992	27.9563636362
204	68.1277553374	159.334775589	16657.9227205	27.8300834709
205	68.3692701149	151.791404944	17568.4864016	25.2528561982
206	65.4615905659	151.791404944	18603.4522152	25.5141528924
207	63.2760797936	152.636035709	19588.9492499	25.9144371899
208	61.5078748838	154.917267605	20435.1153912	26.4672107437
209	60.9282394192	154.729391921	21259.1653173	28.1318851238
210	47.7771659095	152.409289195	22026.1069342	29.790205785
211	45.7721973305	150.048696019	22828.7309879	25.7492404958
212	44.43951087	148.85017873	23268.7925457	27.4004132231
213	43.2042221726	148.85017873	23630.7096697	28.9920198346
214	45.9662010028	147.40547951	23541.363537	31.6605818181
215	44.0974309195	147.641133923	23171.2198941	34.0591107438
216	43.016553311	148.348097162	22576.0260888	38.4471479338
217	42.7671200171	149.106078367	21817.1192726	37.3408066115
218	42.7156496553	149.44538833	21070.6031228	38.9363842975
219	43.7894005988	128.873810821	20200.2844524	39.8981785124
220	45.8014958431	124.577774184	19222.5894744	40.4223603306
221	43.299244382	121.737774093	18066.3095299	41.239607438
222	42.6364644836	117.376952738	16904.2898785	37.9039049587
223	41.7218757373	118.333337143	15771.2125516	35.9112198347
224	40.5554781409	113.130314449	14607.5431782	35.3870380165
225	41.7305861046	116.210827807	13535.2854431	34.5483471075
226	41.2111313709	115.929014282	12549.3592124	34.8890652893
227	41.2721039533	114.992875102	11626.6573332	34.4061826447
228	41.671197224	112.016827102	10911.4898455	32.2459181819
229	42.0473267953	112.016827102	10370.4473154	31.9242611571
230	42.7797896446	108.149179416	9798.41431246	31.3563975208
231	43.9010516913	108.352441469	9368.3978336	32.1784099175
232	42.4464200659	108.025278642	9096.30022016	38.4400000001
233	42.0821682712	107.691637342	9056.17749884	45.988218182
234	41.880246081	106.814614217	9285.15275303	46.7959347109
235	42.1265119693	118.08958464	9685.3117102	46.4528338844
236	42.8558074131	137.991450123	10203.3007369	46.3472033059
237	44.1346479549	143.899816438	10917.3415852	45.3464925621
238	42.8043370502	146.815128764	11883.8277637	42.1418355373
239	42.8043370502	147.418436454	13109.9396261	41.0799702481
240	42.8043370502	152.957529874	14758.1081181	40.5081355373
241	43.5011665726	146.886391954	16609.4582917	39.3461991736
242	43.4481125071	147.742360046	18636.9989286	38.8656991736
243	43.3934747381	146.615105946	20962.9001844	38.3605785124
244	41.2752713627	144.833526191	23609.9599386	38.7807181819
245	39.3938316545	147.100991334	26510.5103992	37.9031107438
246	38.0849007475	150.923289718	29702.3294889	37.4424661157
247	37.2368275458	149.329585646	33088.0488978	38.0627479339
248	38.7761873075	145.117769143	36656.9836978	42.1728099173
249	38.1110318541	143.531353352	40394.977523	39.5709619835
250	37.7364859856	141.555419442	44554.2043002	36.3599512397
251	38.4048088459	137.184880379	49026.1113777	35.6928107438
